"Manufacturernumber","Articlenumber","EAN","Technical details","Product category","Technical specifications","Picture normal reduced","Depth m","Width m","Length m","Weight kg","Delivery time days","Type of product","Price quantity","ETIM Features","ETIM","ECLASS Features","ECLASS","PROFICLASS Features","PROFICLASS","Product features"
"0 601 482 400","0601482400","4053423252613","TitelAkku-Holznagler GNH 18V-50 M Professional|Neuheit bis01.08.2024|Verpackungsabmessungen (Breite)295mm|Verpackungsabmessungen (Länge)380mm|Verpackungsabmessungen (Höhe)110mm|Verpackungsabmessungen (Breite x Länge x Höhe)295 x 380 x 110mm|Akkuspannung18,0 V|Magazin Winkel0°|Nagel-, von1,2mm|Nagel-1,2mm|Nagellänge, von16mm|Nagellänge, bis zu50mm|Nagellänge16 – 50mm|Nagel-/KlammertypStiftnagel|AuslösesystemSerienauslösung + Kontaktauslösung mit automatischer Umkehrung|Gewicht exkl. Akku2,95kg|Magazinkapazität105Stck|Kompatible Nägel/KlammernBosch Nägel|Unterteilung der ProduktkategorienAkku-Holznagler","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-427421-117_jpg/detail.jpg/normal.jpg","0.11","0.295","0.38","3.0","","main_product",1,"","","","","","",""
"0 601 482 500","0601482500","4053423252620","TitelAkku-Holzklammerer GTH 18V-38 M Professional|Neuheit bis01.08.2024|Verpackungsabmessungen (Breite)295mm|Verpackungsabmessungen (Länge)380mm|Verpackungsabmessungen (Höhe)110mm|Verpackungsabmessungen (Breite x Länge x Höhe)295 x 380 x 110mm|Akkuspannung18,0 V|Magazin Winkel0°|Klammerweite5,8mm|Nagel-/KlammertypSchmalrückenklammer|AuslösesystemSerienauslösung + Kontaktauslösung mit automatischer Umkehrung|Gewicht exkl. Akku3,05kg|Magazinkapazität110Stck|Kompatible Nägel/KlammernBosch Klammern|Unterteilung der ProduktkategorienAkku-Holzklammerer|Schenkellänge10 – 38mm","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-427434-117_jpg/detail.jpg/normal.jpg","0.11","0.295","0.38","3.1","","main_product",1,"","","","","","",""
"0 601 2B7 000","06012B7000","4059952617138","TitelAkku-Bandsäge GCB 18V-127 Professional|Neuheit bis01.08.2024|Verpackungsabmessungen (Breite)237mm|Verpackungsabmessungen (Länge)542mm|Verpackungsabmessungen (Höhe)318mm|Verpackungsabmessungen (Breite x Länge x Höhe)237 x 542 x 318mm|Akkuspannung18,0 V|Gewicht exkl. Akku6,45kg|Unterteilung der ProduktkategorienAkku-Bandsäge","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-435789-117_jpg/detail.jpg/normal.jpg","0.318","0.237","0.542","6.45","","main_product",1,"","","","","","",""
"0 611 915 001","0611915001","3165140996105","Bohr- Beton, Hammerbohrer, von14mm|Bohr- Beton, Hammerbohrer, bis zu35mm|Durchmesserbereich Hammerbohren in Beton14 – 35mm|TitelAkku-Bohrhammer BITURBO mit SDS max GBH 18V-36 C Professional|Neuheit bis01.04.2021|Werkzeugabmessungen (Länge)460mm|Verpackungsabmessungen (Breite)408mm|Verpackungsabmessungen (Länge)617mm|Verpackungsabmessungen (Höhe)150mm|Verpackungsabmessungen (Breite x Länge x Höhe)408 x 617 x 150mm|Akkuspannung18,0 V|Schlagenergie (gemäß EPTA 05/2016)7J|Schlagzahl bei Nenndrehzahl, von0bpm|Schlagzahl bei Nenndrehzahl, bis zu2.900bpm|Schlagzahl bei Nenndrehzahl0 – 2.900bpm|Nenndrehzahl, von0min-1|Nenndrehzahl, bis zu500min-1|Nenndrehzahl0 – 500min-1|Gewicht exkl. Akku5,1kg|WerkzeugaufnahmeSDS max|Rec. app. range in concr. with ham. dr. bits, from14mm|Rec. app. range in concr. with hammer dr. bits, to35mm|Optimaler Einsatzbereich Beton mit Hammerbohrern14 – 35mm|Unterteilung der ProduktkategorienAkku-Bohrhammer BITURBO mit SDS max","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-316305-117_jpg/detail.jpg/normal.jpg","0.15","0.408","0.617","5.199","","main_product",1,"","","","","","",""
"0 601 9G0 108","06019G0108","3165140956284","TitelAkku-Bohrschrauber GSR 18V-110 C Professional|Werkzeugabmessungen (Höhe)213mm|Verpackungsabmessungen (Breite)245mm|Verpackungsabmessungen (Länge)325mm|Verpackungsabmessungen (Höhe)115mm|Verpackungsabmessungen (Breite x Länge x Höhe)245 x 325 x 115mm|Bohr- Holz, max.82mm|Akkuspannung18,0 V|Drehmoment (weich)47Nm|Drehmoment (hart)85Nm|Drehmoment (max.)110Nm|Drehmoment (weich/hart/max.)47/85/110Nm|AkkutypLithium-Ionen|Leerlaufdrehzahl, 1. Gang, von0min-1|Leerlaufdrehzahl, 1. Gang, bis480min-1|Leerlaufdrehzahl, 2. Gang, von0min-1|Leerlaufdrehzahl, 2. Gang, bis2.100min-1|Leerlaufdrehzahl (1. Gang / 2. Gang)0 – 480 / 0 – 2.100min-1|Schlagzahl, max.31.500bpm|Bohrfutterspannbereich, min.1,5mm|Bohrfutterspannbereich, max.13mm|Bohrfutterspannbereich, min./max.1,5 / 13mm|Gewicht exkl. Akku1,8kg|Drehmomentstufen (Standard)25|Drehmomentstufen (zusätzlich)1|Drehmomentstufen25+1|Bohr- Stahl, max.13mm|Bohr- Mauerwerk, max.16mm|Schrauben-, max.12mm|Unterteilung der ProduktkategorienAkku-Bohrschrauber","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-316685-117_jpg/normal.jpg/normal.jpg","0.115","0.245","0.325","2.0","","main_product",1,"","","","","","",""
"0 601 9H1 071","06019H1071","4059952510224","Schrauben-, max.10mm|TitelAkku-Bohrschrauber GSR 18V-21 Professional|Neuheit bis01.07.2020|Werkzeugabmessungen (Höhe)102mm|Verpackungsabmessungen (Breite)251mm|Verpackungsabmessungen (Länge)324mm|Verpackungsabmessungen (Höhe)112mm|Verpackungsabmessungen (Breite x Länge x Höhe)251 x 324 x 112mm|Bohr- Holz, max.35mm|Akkuspannung18,0 V|Drehmoment (weich)21Nm|Drehmoment (hart)55Nm|Drehmoment (weich/hart/max.)21/55/-Nm|AkkutypLithium-Ionen|Leerlaufdrehzahl, 1. Gang, von0min-1|Leerlaufdrehzahl, 1. Gang, bis480min-1|Leerlaufdrehzahl, 2. Gang, von0min-1|Leerlaufdrehzahl, 2. Gang, bis1.800min-1|Leerlaufdrehzahl (1. Gang / 2. Gang)0 – 480 / 0 – 1.800min-1|Bohrfutterspannbereich, min.1,5mm|Bohrfutterspannbereich, max.13mm|Bohrfutterspannbereich, min./max.1,5 / 13mm|Gewicht exkl. Akku1,3kg|Drehmomentstufen (Standard)20|Drehmomentstufen (zusätzlich)1|Drehmomentstufen20+1|Bohr- Stahl, max.10mm|Unterteilung der ProduktkategorienAkku-Bohrschrauber","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-257089-117_jpg/normal.jpg/normal.jpg","0.112","0.251","0.324","1.4","","main_product",1,"","","","","","",""
"0 611 909 000","0611909000","3165140807876","TitelAkku-Bohrhammer mit SDS plus GBH 18V-26 Professional|Werkzeugabmessungen (Länge)225mm|Verpackungsabmessungen (Breite)251mm|Verpackungsabmessungen (Länge)398mm|Verpackungsabmessungen (Höhe)112mm|Verpackungsabmessungen (Breite x Länge x Höhe)251 x 398 x 112mm|Akkuspannung18,0 V|Schlagenergie (gemäß EPTA 05/2016)2,6J|Schlagzahl bei Nenndrehzahl, von0bpm|Schlagzahl bei Nenndrehzahl, bis zu4.350bpm|Schlagzahl bei Nenndrehzahl0 – 4.350bpm|Nenndrehzahl, von0min-1|Nenndrehzahl, bis zu980min-1|Nenndrehzahl0 – 980min-1|WerkzeugaufnahmeSDS plus|Bohr- Beton mit Hammerbohrern, von4mm|Bohr- Beton mit Hammerbohrern, bis26mm|Bohr- in Beton mit Hammerbohrern4 – 26mm|Rec. app. range in concr. with ham. dr. bits, from8mm|Rec. app. range in concr. with hammer dr. bits, to16mm|Optimaler Einsatzbereich Beton mit Hammerbohrern8 – 16mm|Max. Bohrdurchmesser in Metall13mm|Max. Bohr- Holz30mm|Unterteilung der ProduktkategorienAkku-Bohrhammer mit SDS plus","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-295468-117_jpg/detail.jpg/normal.jpg","0.112","0.251","0.398","2.712","","main_product",1,"","","","","","",""
"0 611 910 000","0611910000","3165140807937","TitelAkku-Bohrhammer mit SDS plus GBH 18V-26F Professional|Neuheit bis01.12.2016|Werkzeugabmessungen (Länge)364mm|Verpackungsabmessungen (Breite)251mm|Verpackungsabmessungen (Länge)104mm|Verpackungsabmessungen (Höhe)398mm|Verpackungsabmessungen (Breite x Länge x Höhe)251 x 104 x 398mm|Akkuspannung18,0 V|Schlagenergie (gemäß EPTA 05/2016)2,6J|Schlagzahl bei Nenndrehzahl, von0bpm|Schlagzahl bei Nenndrehzahl, bis zu4.350bpm|Schlagzahl bei Nenndrehzahl0 – 4.350bpm|Nenndrehzahl, von0min-1|Nenndrehzahl, bis zu980min-1|Nenndrehzahl0 – 980min-1|WerkzeugaufnahmeSDS plus|Bohr- Beton mit Hammerbohrern, von4mm|Bohr- Beton mit Hammerbohrern, bis26mm|Bohr- in Beton mit Hammerbohrern4 – 26mm|Rec. app. range in concr. with ham. dr. bits, from8mm|Rec. app. range in concr. with hammer dr. bits, to16mm|Optimaler Einsatzbereich Beton mit Hammerbohrern8 – 16mm|Max. Bohrdurchmesser in Metall13mm|Max. Bohr- Holz30mm|Unterteilung der ProduktkategorienAkku-Bohrhammer mit SDS plus","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-230392-117_jpg/detail.jpg/normal.jpg","0.398","0.251","0.104","4.495","","main_product",1,"","","","","","",""
"0 611 916 001","0611916001","3165140981156","Schlagenergie (gemäß EPTA 05/2016)2,5J|TitelAkku-Bohrhammer mit SDS plus GBH 18V-26 D Professional|Neuheit bis17.09.2019|Werkzeugabmessungen (Länge)441mm|Verpackungsabmessungen (Breite)240mm|Verpackungsabmessungen (Länge)470mm|Verpackungsabmessungen (Höhe)102mm|Verpackungsabmessungen (Breite x Länge x Höhe)240 x 470 x 102mm|Akkuspannung18,0 V|Schlagzahl bei Nenndrehzahl, von0bpm|Schlagzahl bei Nenndrehzahl, bis zu4.350bpm|Schlagzahl bei Nenndrehzahl0 – 4.350bpm|Nenndrehzahl, von0min-1|Nenndrehzahl, bis zu980min-1|Nenndrehzahl0 – 980min-1|Gewicht exkl. Akku2,6kg|WerkzeugaufnahmeSDS plus|Bohr- Beton mit Hammerbohrern, von4mm|Bohr- Beton mit Hammerbohrern, bis26mm|Bohr- in Beton mit Hammerbohrern4 – 26mm|Rec. app. range in concr. with ham. dr. bits, from8mm|Rec. app. range in concr. with hammer dr. bits, to16mm|Optimaler Einsatzbereich Beton mit Hammerbohrern8 – 16mm|Max. Bohrdurchmesser in Metall13mm|Max. Bohr- Holz30mm|Unterteilung der ProduktkategorienAkku-Bohrhammer mit SDS plus","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-284831-117_jpg/detail.jpg/normal.jpg","0.102","0.24","0.47","2.6","","main_product",1,"","","","","","",""
"0 601 64J 000","060164J000","3165140508940","Hubzahl, 1. Gang2.400min-1|Hubzahl, 2. Gang2.700min-1|Hubzahl (1. Gang / 2. Gang)2.400 - 2.700min-1|TitelAkku-Säbelsäge GSA 18V-LI Professional|Verpackungsabmessungen (Breite)410mm|Verpackungsabmessungen (Länge)500mm|Verpackungsabmessungen (Höhe)140mm|Verpackungsabmessungen (Breite x Länge x Höhe)410 x 500 x 140mm|Akkuspannung18,0 V|Gewicht inkl. Akku3,4kg|Schnitttiefe in Holz250mm|Schnitttiefe in Metallprofilen und Metallrohren130mm|Hublänge, 1. Gang28mm|Hublängen28mm|Gewicht exkl. Akku2,9kg|Hubzahl, von0min-1|Hubzahl, bis zu2.700min-1|Hubzahl0 - 2.700min-1|Unterteilung der ProduktkategorienAkku-Säbelsäge","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-45795-117_jpg/detail.jpg/normal.jpg","0.14","0.41","0.5","2.0","","main_product",1,"","","","","","",""
"0 601 B51 100","0601B51100","4059952613284","TitelAkku-Kapp- und Gehrungssäge BITURBO GCM 18V-254 D Professional|Neuheit bis01.08.2023|SOL Datum01.05.2023|Verpackungsabmessungen (Breite)575mm|Verpackungsabmessungen (Länge)790mm|Verpackungsabmessungen (Höhe)365mm|Verpackungsabmessungen (Breite x Länge x Höhe)575 x 790 x 365mm|Akkuspannung18,0 V|Sägeblattdurchmesser254mm|Gewicht17,7kg|Schnittkapazität bei 0°, Höhe90mm|Schnittkapazität bei 0°, Breite305mm|Schnittkapazität 0°90 x 305mm|Schnittkapazität bei 45° Gehrung, Höhe90mm|Schnittkapazität bei 45° Gehrung, Breite215mm|Schnittkapazität 45° Gehrung90 x 215mm|Schnittkapazität bei 45° Neigung, Höhe55mm|Schnittkapazität bei 45° Neigung, Breite305mm|Schnittkapazität 45°-Neigung55 x 305mm|Gehrungseinstellung, links48°|Gehrungseinstellung, rechts48°|Gehrungseinstellung48 ° L / 48 ° R|Neigungseinstellung, links47°|Neigungseinstellung, rechts47°|Neigungseinstellung47 ° L / 47 ° R|Werkzeugabmessungen (Breite)500mm|Werkzeugabmessungen (Länge)787mm|Werkzeugabmessungen (Höhe)632mm|Werkzeugabmessungen (Breite x Länge x Höhe)500 x 787 x 632mm|Leerlaufdrehzahl, von4.500min-1|Leerlaufdrehzahl4.500min-1|Sägeblattbohrungs-30mm|Unterteilung der ProduktkategorienAkku-Kapp- und Gehrungssäge BITURBO","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-402444-117_jpg/detail.jpg/normal.jpg","0.365","0.575","0.79","17.7","","main_product",1,"","","","","","",""
"0 601 9K2 000","06019K2000","4059952552682","TitelAkku-Staubsauger GAS 18V-12 MC Professional|Neuheit bis01.04.2024|Verpackungsabmessungen (Breite)390mm|Verpackungsabmessungen (Länge)445mm|Verpackungsabmessungen (Höhe)500mm|Verpackungsabmessungen (Breite x Länge x Höhe)390 x 445 x 500mm|Akkuspannung18,0 V|Gewicht exkl. Akku8kg|Saugschlauch-Nennbreite28mm|Filterfläche3.200cm²|Räder, Anzahl5|Rad, Durchmesser50mm|Max. Luftstromgeschwindigkeit (Turbine)30,0l/s|Max. Unterdruck (Turbine)170mbar|Behältervolumen brutto12l|Behältervolumen netto8l|Behältervolumen netto Wasser6l|Staubklasse Nass-/TrockensaugerM|StaubklasseM|Unterteilung der ProduktkategorienAkku-Staubsauger","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-393212-117_jpg/detail.jpg/normal.jpg","0.5","0.39","0.445","8.0","","main_product",1,"","","","","","",""
"0 611 917 100","0611917100","4059952615394","TitelAkku-Bohrhammer BITURBO mit SDS max GBH 18V-40 C Professional|Neuheit bis01.12.2022|Werkzeugabmessungen (Länge)502mm|Verpackungsabmessungen (Breite)395mm|Verpackungsabmessungen (Länge)607mm|Verpackungsabmessungen (Höhe)179mm|Verpackungsabmessungen (Breite x Länge x Höhe)395 x 607 x 179mm|Akkuspannung18,0 V|Schlagenergie (gemäß EPTA 05/2016)9J|Schlagzahl bei Nenndrehzahl, von0bpm|Schlagzahl bei Nenndrehzahl, bis zu3.130bpm|Schlagzahl bei Nenndrehzahl0 – 3.130bpm|Nenndrehzahl, von0min-1|Nenndrehzahl, bis zu360min-1|Nenndrehzahl0 – 360min-1|Gewicht exkl. Akku7kg|WerkzeugaufnahmeSDS max|Bohr- Beton mit Hammerbohrern, von12mm|Bohr- Beton mit Hammerbohrern, bis40mm|Bohr- in Beton mit Hammerbohrern12 – 40mm|Rec. app. range in concr. with ham. dr. bits, from18mm|Rec. app. range in concr. with hammer dr. bits, to32mm|Optimaler Einsatzbereich Beton mit Hammerbohrern18 – 32mm|Unterteilung der ProduktkategorienAkku-Bohrhammer BITURBO mit SDS max","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-358145-117_jpg/detail.jpg/normal.jpg","0.179","0.395","0.607","7.0","","main_product",1,"","","","","","",""
"0 601 9H6 G00","06019H6G00","4059952610054","TitelAkku-Winkelschleifer BITURBO mit X-LOCK GWX 18V-15 PSC Professional|Neuheit bis01.12.2022|Verpackungsabmessungen (Breite)162mm|Verpackungsabmessungen (Länge)381mm|Verpackungsabmessungen (Höhe)156mm|Verpackungsabmessungen (Breite x Länge x Höhe)162 x 381 x 156mm|Akkuspannung18,0 V|Leerlaufdrehzahl, von3.400min-1|Leerlaufdrehzahl, bis zu9.800min-1|Leerlaufdrehzahl3.400 – 9.800min-1|Gewicht exkl. Akku2,3kg|Scheiben-125mm|Gummischleifteller, 125mm|Bemessungs-Leerlaufdrehzahl11000min-1|Unterteilung der ProduktkategorienAkku-Winkelschleifer BITURBO mit X-LOCK","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-379727-117_jpg/detail.jpg/normal.jpg","0.156","0.162","0.381","2.06","","main_product",1,"","","","","","",""
"0 601 9K3 200","06019K3200","4059952605616","TitelAkku-Bohrschrauber GSR 18V-45 Professional|Neuheit bis01.12.2022|Werkzeugabmessungen (Höhe)203mm|Verpackungsabmessungen (Breite)221mm|Verpackungsabmessungen (Länge)231mm|Verpackungsabmessungen (Höhe)91mm|Verpackungsabmessungen (Breite x Länge x Höhe)221 x 231 x 91mm|Bohr- Holz, max.35mm|Akkuspannung18,0 V|Drehmoment (weich)21Nm|Drehmoment (hart)45Nm|Drehmoment (weich/hart/max.)21/45/-Nm|AkkutypLithium-Ionen|Leerlaufdrehzahl, 1. Gang, von0min-1|Leerlaufdrehzahl, 1. Gang, bis500min-1|Leerlaufdrehzahl, 2. Gang, von0min-1|Leerlaufdrehzahl, 2. Gang, bis1.900min-1|Leerlaufdrehzahl (1. Gang / 2. Gang)0 – 500 / 0 – 1.900min-1|Bohrfutterspannbereich, min.1,5mm|Bohrfutterspannbereich, max.13mm|Bohrfutterspannbereich, min./max.1,5 / 13mm|Gewicht exkl. Akku0,9kg|Drehmomentstufen (Standard)20|Drehmomentstufen (zusätzlich)1|Drehmomentstufen20+1|Bohr- Stahl, max.10mm|Schrauben-, max.8mm|Unterteilung der ProduktkategorienAkku-Bohrschrauber","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-371052-117_jpg/detail.jpg/normal.jpg","0.091","0.221","0.231","0.9","","main_product",1,"","","","","","",""
"0 601 9K3 300","06019K3300","4059952605654","AkkutypLithium-Ionen|Bohrfutterspannbereich, min.1,5mm|Bohrfutterspannbereich, max.13mm|Bohrfutterspannbereich, min./max.1,5 / 13mm|Bohr- Mauerwerk, max.10mm|TitelAkku-Schlagbohrschauber GSB 18V-45 Professional|Neuheit bis01.12.2022|Werkzeugabmessungen (Höhe)203mm|Verpackungsabmessungen (Breite)221mm|Verpackungsabmessungen (Länge)231mm|Verpackungsabmessungen (Höhe)95mm|Verpackungsabmessungen (Breite x Länge x Höhe)221 x 231 x 95mm|Bohr- Holz, max.35mm|Akkuspannung18,0 V|Drehmoment (weich)21Nm|Drehmoment (hart)45Nm|Drehmoment (weich/hart/max.)21/45/-Nm|Leerlaufdrehzahl, 1. Gang, von0min-1|Leerlaufdrehzahl, 1. Gang, bis500min-1|Leerlaufdrehzahl, 2. Gang, von0min-1|Leerlaufdrehzahl, 2. Gang, bis1.900min-1|Leerlaufdrehzahl (1. Gang / 2. Gang)0 – 500 / 0 – 1.900min-1|Schlagzahl, max.27.000bpm|Gewicht exkl. Akku1kg|Drehmomentstufen (Standard)20|Drehmomentstufen (zusätzlich)2|Drehmomentstufen20+2|Bohr- Stahl, max.10mm|Schrauben-, max.8mm|Unterteilung der ProduktkategorienAkku-Schlagbohrschauber","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-371141-117_jpg/detail.jpg/normal.jpg","0.095","0.221","0.231","0.922","","main_product",1,"","","","","","",""
"0 601 9K6 000","06019K6000","4059952577678","TitelAkku-Bohrschrauber GSR 18V-90 C Professional|Neuheit bis01.12.2022|Werkzeugabmessungen (Höhe)210mm|Verpackungsabmessungen (Breite)224mm|Verpackungsabmessungen (Länge)94mm|Verpackungsabmessungen (Höhe)234mm|Verpackungsabmessungen (Breite x Länge x Höhe)224 x 94 x 234mm|Bohr- Holz, max.68mm|Akkuspannung18,0 V|Drehmoment (weich)36Nm|Drehmoment (hart)64Nm|Drehmoment (weich/hart/max.)36/64/-Nm|Leerlaufdrehzahl, 1. Gang, von0min-1|Leerlaufdrehzahl, 1. Gang, bis630min-1|Leerlaufdrehzahl, 2. Gang, von0min-1|Leerlaufdrehzahl, 2. Gang, bis2.100min-1|Leerlaufdrehzahl (1. Gang / 2. Gang)0 – 630 / 0 – 2.100min-1|Bohrfutterspannbereich, min.1,5mm|Bohrfutterspannbereich, max.13mm|Bohrfutterspannbereich, min./max.1,5 / 13mm|Gewicht exkl. Akku1,1kg|Drehmomentstufen (Standard)21|Drehmomentstufen21|Bohr- Stahl, max.13mm|Schrauben-, max.12mm|Unterteilung der ProduktkategorienAkku-Bohrschrauber","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-374914-117_jpg/detail.jpg/normal.jpg","0.234","0.224","0.094","1.333","","main_product",1,"","","","","","",""
"0 601 529 600","0601529600","4059952634067","TitelAkku-Nager GNA 18V-16 E Professional|Neuheit bis01.12.2022|Verpackungsabmessungen (Breite)158mm|Verpackungsabmessungen (Länge)344mm|Verpackungsabmessungen (Höhe)91mm|Verpackungsabmessungen (Breite x Länge x Höhe)158 x 344 x 91mm|Gewicht inkl. Akku3,1kg|Akkukapazität12,0Ah|Akkuspannung18,0 V|Gewicht exkl. Akku1,7kg|Schnittkapazität Stahl (800 N/mm²), max.0,7mm|Schnittkapazität Stahl (600 N/mm²), max.1mm|Schnittkapazität Stahl (400 N/mm²), max.1,6mm|Schnittkapazität Aluminium (200 N/mm²), max.2,0mm|Schneidspurbreite5mm|Vorbohren für Innenausschnitte22mm|Leerlaufhubzahl1.400min-1|Minimaler Kurvenradius40mm|Unterteilung der ProduktkategorienAkku-Nager","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-376666-117_jpg/detail.jpg/normal.jpg","0.091","0.158","0.344","1.71","","main_product",1,"","","","","","",""
"0 601 926 300","0601926300","4059952609058","TitelAkku-Blechschere GSC 18V-16 E Professional|Neuheit bis01.12.2022|Verpackungsabmessungen (Breite)158mm|Verpackungsabmessungen (Länge)344mm|Verpackungsabmessungen (Höhe)91mm|Verpackungsabmessungen (Breite x Länge x Höhe)158 x 344 x 91mm|Gewicht inkl. Akku3,0kg|Akkukapazität12,0Ah|Akkuspannung18,0 V|Gewicht exkl. Akku1,6kg|Schnittkapazität Stahl (800 N/mm²), max.0,7mm|Schnittkapazität Stahl (600 N/mm²), max.1,2mm|Schnittkapazität Stahl (400 N/mm²), max.1,6mm|Schnittkapazität Aluminium (200 N/mm²), max.2,2mm|Leerlaufhubzahl3.200min-1|Minimaler Kurvenradius20mm|Unterteilung der ProduktkategorienAkku-Blechschere","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-376690-117_jpg/detail.jpg/normal.jpg","0.091","0.158","0.344","1.62","","main_product",1,"","","","","","",""
"0 601 9K4 000","06019K4000","4059952568010","TitelAkku-Drehschlagschrauber GDS 18V-450 HC Professional|Werkzeugabmessungen (Breite)77mm|Werkzeugabmessungen (Länge)169mm|Werkzeugabmessungen (Höhe)214mm|Verpackungsabmessungen (Breite)224mm|Verpackungsabmessungen (Länge)94mm|Verpackungsabmessungen (Höhe)234mm|Verpackungsabmessungen (Breite x Länge x Höhe)224 x 94 x 234mm|Leerlaufdrehzahl, von0U/min|Leerlaufdrehzahl, bis zu2.300U/min|Leerlaufdrehzahl0-2.300U/min|Akkuspannung18,0 V|Gewicht inkl. Akku1,6kg|Werkzeugaufnahme1/2'' Vierkant|Losbrechmoment, max.800Nm|Drehmomenteinstellbereich, min. 1. Stufe0Nm|Drehmomenteinstellbereich, max. 1. Stufe250Nm|Drehmomenteinstellbereich, min./max., 1. Stufe0/250Nm|Drehmomenteinstellbereich, min. 2. Stufe0Nm|Drehmomenteinstellbereich, max. 2. Stufe330Nm|Drehmomenteinstellbereich, min./max., 2. Stufe0/330Nm|Drehmomenteinstellbereich, min. 3. Stufe0Nm|Drehmomenteinstellbereich, max. 3. Stufe450Nm|Drehmomenteinstellbereich, min./max., 3. Stufe0/450Nm|Leerlaufdrehzahl, 1. Stufe, von0min-1|Leerlaufdrehzahl, 1. Stufe, bis1.000min-1|Leerlaufdrehzahl (1. Stufe)0-1.000min-1|Leerlaufdrehzahl, 2. Stufe, von0min-1|Leerlaufdrehzahl, 2. Stufe, bis1.500min-1|Leerlaufdrehzahl (2. Stufe)0-1.500min-1|Leerlaufdrehzahl (3. Stufe)0-2.300min-1|Drehmomentstufen3|Gewicht exkl. Akku1,6kg|Drehmoment, max.450Nm|Schlagzahl, von0bpm|Schlagzahl, bis zu3.300bpm|Schlagzahl0-3.300bpm|Schlagzahl (1. Stufe)0-1.900bpm|Schlagzahl (2. Stufe)0-2.500bpm|Schlagzahl (3. Stufe)0-3.300bpm|SchraubengrößeM 10 – M 20|Unterteilung der ProduktkategorienAkku-Drehschlagschrauber","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-369619-117_jpg/normal.jpg/normal.jpg","0.234","0.224","0.094","2.193","","main_product",1,"","","","","","",""
"0 601 9H6 A00","06019H6A00","4059952609980","TitelAkku-Winkelschleifer BITURBO GWS 18V-15 P Professional|Neuheit bis01.12.2022|Verpackungsabmessungen (Breite)155mm|Verpackungsabmessungen (Länge)375mm|Verpackungsabmessungen (Höhe)155mm|Verpackungsabmessungen (Breite x Länge x Höhe)155 x 375 x 155mm|Akkuspannung18,0 V|Leerlaufdrehzahl, bis zu9.800min-1|Leerlaufdrehzahl9.800min-1|SchleifspindelgewindeM14|Bohrung, 22,2mm|Gewicht exkl. Akku2,2kg|Scheiben-125mm|Bemessungs-Leerlaufdrehzahl11000min-1|Unterteilung der ProduktkategorienAkku-Winkelschleifer BITURBO","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-376204-117_jpg/detail.jpg/normal.jpg","0.155","0.155","0.375","2.248","","main_product",1,"","","","","","",""
"0 601 9H6 B00","06019H6B00","4059952610016","TitelAkku-Winkelschleifer BITURBO GWS 18V-15 PSC Professional|Neuheit bis01.12.2022|Verpackungsabmessungen (Breite)155mm|Verpackungsabmessungen (Länge)375mm|Verpackungsabmessungen (Höhe)155mm|Verpackungsabmessungen (Breite x Länge x Höhe)155 x 375 x 155mm|Akkuspannung18,0 V|Leerlaufdrehzahl, von3.400min-1|Leerlaufdrehzahl, bis zu9.800min-1|Leerlaufdrehzahl3.400 – 9.800min-1|SchleifspindelgewindeM14|Bohrung, 22,2mm|Gewicht exkl. Akku2,3kg|Scheiben-125mm|Gummischleifteller, 125mm|Bemessungs-Leerlaufdrehzahl11000min-1|Unterteilung der ProduktkategorienAkku-Winkelschleifer BITURBO","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-376216-117_jpg/detail.jpg/normal.jpg","0.155","0.155","0.375","2.285","","main_product",1,"","","","","","",""
