"Manufacturernumber","Articlenumber","EAN","Technical details","Product category","Technical specifications","Picture normal reduced","Depth m","Width m","Length m","Weight kg","Delivery time days","Type of product","Price quantity","ETIM Features","ETIM","ECLASS Features","ECLASS","PROFICLASS Features","PROFICLASS","Product features"
"0 601 9H6 100","06019H6100","","TitelAkku-Winkelschleifer BITURBO GWS 18V-15 SC Professional|Neuheit bis15.11.2020|Verpackungsabmessungen (Breite)360mm|Verpackungsabmessungen (Länge)440mm|Verpackungsabmessungen (Höhe)155mm|Verpackungsabmessungen (Breite x Länge x Höhe)360 x 440 x 155mm|Akkuspannung18,0 V|Gewicht inkl. Akku3,2kg|Leerlaufdrehzahl, von3.400min-1|Leerlaufdrehzahl, bis zu9.800min-1|Leerlaufdrehzahl3.400 – 9.800min-1|SchleifspindelgewindeM14|Bohrung, 22,2mm|Gewicht exkl. Akku2,3kg|Scheiben-125mm|Unterteilung der ProduktkategorienAkku-Winkelschleifer BITURBO","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-293532-117_jpg/detail.jpg/normal.jpg","0.155","0.36","0.44","1.745","","main_product",1,"","","","","","",""
"0 601 9H6 300","06019H6300","","TitelAkku-Winkelschleifer BITURBO GWS 18V-15 SC Professional|Neuheit bis15.11.2020|Verpackungsabmessungen (Breite)360mm|Verpackungsabmessungen (Länge)442mm|Verpackungsabmessungen (Höhe)152mm|Verpackungsabmessungen (Breite x Länge x Höhe)360 x 442 x 152mm|Akkuspannung18,0 V|Gewicht inkl. Akku3,3kg|Leerlaufdrehzahl, von2.600min-1|Leerlaufdrehzahl, bis zu7.400min-1|Leerlaufdrehzahl2.600 – 7.400min-1|SchleifspindelgewindeM14|Bohrung, 22,2mm|Gewicht exkl. Akku2,3kg|Scheiben-150mm|Unterteilung der ProduktkategorienAkku-Winkelschleifer BITURBO","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-293532-117_jpg/detail.jpg/normal.jpg","0.152","0.36","0.442","1.78","","main_product",1,"","","","","","",""
"0 601 9H6 400","06019H6400","","TitelAkku-Winkelschleifer BITURBO mit X-LOCK GWX 18V-15 C Professional|Neuheit bis01.07.2020|Verpackungsabmessungen (Breite)360mm|Verpackungsabmessungen (Länge)450mm|Verpackungsabmessungen (Höhe)155mm|Verpackungsabmessungen (Breite x Länge x Höhe)360 x 450 x 155mm|Akkuspannung18,0 V|Gewicht inkl. Akku3,3kg|Leerlaufdrehzahl, bis zu9.800min-1|Leerlaufdrehzahl9.800min-1|Gewicht exkl. Akku2,3kg|Scheiben-125mm|Unterteilung der ProduktkategorienAkku-Winkelschleifer BITURBO mit X-LOCK","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-304190-117_jpg/detail.jpg/normal.jpg","0.155","0.36","0.45","1.865","","main_product",1,"","","","","","",""
"0 601 7B0 100","06017B0100","","TitelAkku-Winkelschleifer mit X-LOCK GWX 18V-10 Professional|Neuheit bis01.08.2020|Verpackungsabmessungen (Breite)135mm|Verpackungsabmessungen (Länge)390mm|Verpackungsabmessungen (Höhe)70mm|Verpackungsabmessungen (Breite x Länge x Höhe)135 x 390 x 70mm|Akkuspannung18,0 V|Leerlaufdrehzahl, bis zu9.000min-1|Leerlaufdrehzahl9.000min-1|Gewicht exkl. Akku2kg|Scheiben-125mm|Unterteilung der ProduktkategorienAkku-Winkelschleifer mit X-LOCK","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-329425-117_jpg/detail.jpg/normal.jpg","0.07","0.135","0.39","1.545","","main_product",1,"","","","","","",""
"0 601 372 201","","","TitelAkku-Exzenterschleifer GEX 18V-125 Professional|Neuheit bis01.06.2021|SOL Datum01.05.2021|Verpackungsabmessungen (Breite)189mm|Verpackungsabmessungen (Länge)237mm|Verpackungsabmessungen (Höhe)127mm|Verpackungsabmessungen (Breite x Länge x Höhe)189 x 237 x 127mm|Akkuspannung18,0 V|Schleifteller-125mm|Leerlaufdrehzahl, von6.000U/min|Leerlaufdrehzahl, bis zu10.000U/min|Leerlaufdrehzahl6.000 – 10.000U/min|Schwingzahl, von12.000min-1|Schwingzahl, bis zu20.000min-1|Schwingzahl12.000 – 20.000min-1|Exzentrizität1,25mm|SchleifmittelbefestigungKlettverschluss|Gewicht exkl. Akku1,1kg|Gewicht inkl. Akku1,6kg|Werkzeugabmessungen (Breite)153mm|Werkzeugabmessungen (Länge)224mm|Werkzeugabmessungen (Höhe)108mm|Schwingkreisdurchmesser2,5mm|Unterteilung der ProduktkategorienAkku-Exzenterschleifer","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-340413-117_jpg/detail.jpg/normal.jpg","0.127","0.189","0.237","1.092","","main_product",1,"","","","","","",""
"0 601 2A0 400","","","TitelAkku-Bandsäge GCB 18V-63 Professional|Neuheit bis01.10.2020|Verpackungsabmessungen (Breite)291mm|Verpackungsabmessungen (Länge)383mm|Verpackungsabmessungen (Höhe)208mm|Verpackungsabmessungen (Breite x Länge x Höhe)291 x 383 x 208mm|Akkuspannung18,0 V|Gewicht inkl. Akku4,3kg|Leerlaufdrehzahl162m/min|Sägeblätterabmessung, Länge733mm|Sägeblätterabmessung, Breite12,7mm|Sägeblätterabmessung, Höhe0,35mm|Sägeblätterabmessungen733 x 12,7 x 0,35mm|Max. Schnitttiefe63,5mm|Gewicht exkl. Akku3,3kg|Unterteilung der ProduktkategorienAkku-Bandsäge","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-329834-117_jpg/detail.jpg/normal.jpg","0.208","0.291","0.383","3.4","","main_product",1,"","","","","","",""
"0 601 9J7 000","","","TitelAkku-Winkelschleifer mit X-LOCK GWX 18V-8 Professional|Neuheit bis01.05.2020|Verpackungsabmessungen (Breite)167mm|Verpackungsabmessungen (Länge)379mm|Verpackungsabmessungen (Höhe)104mm|Verpackungsabmessungen (Breite x Länge x Höhe)167 x 379 x 104mm|Akkuspannung18,0 V|Gewicht inkl. Akku2,6kg|Leerlaufdrehzahl, bis zu11.000min-1|Leerlaufdrehzahl11.000min-1|Gewicht exkl. Akku1,8kg|Scheiben-125mm|Gummischleifteller, 125mm|Unterteilung der ProduktkategorienAkku-Winkelschleifer mit X-LOCK","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-304334-117_jpg/detail.jpg/normal.jpg","0.104","0.167","0.379","1.505","","main_product",1,"","","","","","",""
"0 601 9H9 001","","","TitelAkku-Winkelschleifer GWS 18V-7 Professional|Neuheit bis01.12.2020|Verpackungsabmessungen (Breite)118mm|Verpackungsabmessungen (Länge)118mm|Verpackungsabmessungen (Höhe)360mm|Verpackungsabmessungen (Breite x Länge x Höhe)118 x 118 x 360mm|Akkuspannung18,0 V|Gewicht inkl. Akku2,2kg|Leerlaufdrehzahl, bis zu11.000min-1|Leerlaufdrehzahl11.000min-1|SchleifspindelgewindeM14|Bohrung, 22,2mm|Gewicht exkl. Akku1,6kg|Scheiben-125mm|Unterteilung der ProduktkategorienAkku-Winkelschleifer","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-334270-117_jpg/detail.jpg/normal.jpg","0.36","0.118","0.118","2.8","","main_product",1,"","","","","","",""
"0 601 9H5 202","06019H5202","","TitelAkku-Bohrschrauber GSR 18V-55 Professional|Neuheit bis01.07.2020|Verpackungsabmessungen (Breite)263mm|Verpackungsabmessungen (Länge)323mm|Verpackungsabmessungen (Höhe)114mm|Verpackungsabmessungen (Breite x Länge x Höhe)263 x 323 x 114mm|Bohr- Holz, max.35mm|Akkuspannung18,0 V|Drehmoment (weich)28Nm|Drehmoment (hart)55Nm|Drehmoment (weich/hart/max.)28/55/-Nm|AkkutypLithium-Ionen|Leerlaufdrehzahl, 1. Gang, von0min-1|Leerlaufdrehzahl, 1. Gang, bis460min-1|Leerlaufdrehzahl, 2. Gang, von0min-1|Leerlaufdrehzahl, 2. Gang, bis1.800min-1|Leerlaufdrehzahl (1. Gang / 2. Gang)0 – 460 / 0 – 1.800min-1|Bohrfutterspannbereich, min.1,5mm|Bohrfutterspannbereich, max.13mm|Bohrfutterspannbereich, min./max.1,5 / 13mm|Gewicht exkl. Akku1kg|Drehmomentstufen (Standard)20|Drehmomentstufen (zusätzlich)1|Drehmomentstufen20+1|Bohr- Stahl, max.13mm|Schrauben-, max.10mm|Unterteilung der ProduktkategorienAkku-Bohrschrauber","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-375508-117_jpg/detail.jpg/normal.jpg","0.114","0.263","0.323","1.684","","main_product",1,"","","","","","",""
"0 601 4A3 100","06014A3100","","TitelRadio GPB 18V-2 SC Professional|Neuheit bis01.06.2021|Verpackungsabmessungen (Breite)200mm|Verpackungsabmessungen (Länge)372mm|Verpackungsabmessungen (Höhe)160mm|Verpackungsabmessungen (Breite x Länge x Höhe)200 x 372 x 160mm|Akkuspannung18,0 V|Radiofrequenzbereich FM, von87,5MHz|Radiofrequenzbereich FM, bis zu108MHz|Radiofrequenzbereich FM87,5 – 108MHz|Radiofrequenzbereich DAB+, von174,928MHz|Radiofrequenzbereich DAB+, bis239,2MHz|Radiofrequenzbereich DAB+174,928 – 239,2MHz|Speicherplätze FM8|Speicherplätze DAB+8|Eingangsspannung(en) Akku, von18V|Eingangsspannung(en) Akku18V|Speicherplätze16|Eingangsspannung(en) Netz, von100V|Eingangsspannung(en) Netz, bis zu240V|Eingangsspannung(en) Netz100 – 240V|Ausgangsspannung(en) Netz18V|Gewicht exkl. Akku2,5kg|Nennleistung Verstärker (bei Netzbetrieb)15W|Unterteilung der ProduktkategorienRadio","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-332751-117_jpg/detail.jpg/normal.jpg","0.16","0.2","0.372","2.89","","main_product",1,"","","","","","",""
